Банк;Номер лицензии банка;Место в рейтинге;Дата отчёта;Наименование статей;Символы;Суммы в рублях от операций в рублях;Суммы в рублях от операций в ин. валюте и драг. металлах;Всего
Альфа-Банк;1326;5;2019-01-01;Минфину России;11101;0;0;0
Альфа-Банк;1326;5;2019-01-01;финансовым органам субъектов Российской Федерации и органов местного самоуправления;11102;611396;0;611396
Альфа-Банк;1326;5;2019-01-01;государственным внебюджетным фондам Российской Федерации;11103;0;0;0
Альфа-Банк;1326;5;2019-01-01;внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления;11104;0;0;0
Альфа-Банк;1326;5;2019-01-01;финансовым организациям, находящимся в федеральной собственности;11105;3410585;0;3410585
Альфа-Банк;1326;5;2019-01-01;коммерческим организациям, находящимся в федеральной собственности;11106;1447111;210615;1657726
Альфа-Банк;1326;5;2019-01-01;некоммерческим организациям, находящимся в федеральной собственности;11107;0;0;0
Альфа-Банк;1326;5;2019-01-01;финансовым организациям, находящимся в государственной (кроме федеральной) собственности;11108;0;0;0
Альфа-Банк;1326;5;2019-01-01;коммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11109;409327;0;409327
Альфа-Банк;1326;5;2019-01-01;некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11110;0;0;0
Альфа-Банк;1326;5;2019-01-01;негосударственным финансовым организациям;11111;9546323;414331;9960654
Альфа-Банк;1326;5;2019-01-01;негосударственным коммерческим организациям;11112;57999587;24091451;82091038
Альфа-Банк;1326;5;2019-01-01;негосударственным некоммерческим организациям;11113;183532;0;183532
Альфа-Банк;1326;5;2019-01-01;индивидуальным предпринимателям;11114;332675;0;332675
Альфа-Банк;1326;5;2019-01-01;гражданам (физическим лицам);11115;54163447;526608;54690055
Альфа-Банк;1326;5;2019-01-01;юридическим лицам - нерезидентам;11116;2268472;3799889;6068361
Альфа-Банк;1326;5;2019-01-01;физическим лицам - нерезидентам;11117;18193;576;18769
Альфа-Банк;1326;5;2019-01-01;кредитным организациям;11118;1725663;179291;1904954
Альфа-Банк;1326;5;2019-01-01;банкам-нерезидентам;11119;3062;241333;244395
Альфа-Банк;1326;5;2019-01-01;иностранным государствам;11120;0;0;0
Альфа-Банк;1326;5;2019-01-01;в Минфине России;11201;0;0;0
Альфа-Банк;1326;5;2019-01-01;в финансовых органах субъектов Российской Федерации и органов местного самоуправления;11202;0;0;0
Альфа-Банк;1326;5;2019-01-01;в государственных внебюджетных фондах Российской Федерации;11203;0;0;0
Альфа-Банк;1326;5;2019-01-01;во внебюджетных фондах субъектов Российской Федерации и органов местного самоуправления;11204;0;0;0
Альфа-Банк;1326;5;2019-01-01;в финансовых организациях, находящихся в федеральной собственности;11205;0;0;0
Альфа-Банк;1326;5;2019-01-01;в коммерческих организациях, находящихся в федеральной собственности;11206;0;0;0
Альфа-Банк;1326;5;2019-01-01;в некоммерческих организациях, находящихся в федеральной собственности;11207;0;0;0
Альфа-Банк;1326;5;2019-01-01;в финансовых организациях, находящихся в государственной (кроме федеральной) собственности;11208;0;0;0
Альфа-Банк;1326;5;2019-01-01;в коммерческих организациях, находящихся в государственной (кроме федеральной) собственности;11209;0;0;0
Альфа-Банк;1326;5;2019-01-01;в некоммерческих организациях, находящихся в государственной (кроме федеральной) собственности;11210;0;0;0
Альфа-Банк;1326;5;2019-01-01;в негосударственных финансовых организациях;11211;793952;384118;1178070
Альфа-Банк;1326;5;2019-01-01;в негосударственных коммерческих организациях;11212;49804;0;49804
Альфа-Банк;1326;5;2019-01-01;в негосударственных некоммерческих организациях;11213;0;0;0
Альфа-Банк;1326;5;2019-01-01;в юридических лицах - нерезидентах;11214;131755;540549;672304
Альфа-Банк;1326;5;2019-01-01;в кредитных организациях;11215;1075154;2182647;3257801
Альфа-Банк;1326;5;2019-01-01;в банках-нерезидентах;11216;0;529006;529006
Альфа-Банк;1326;5;2019-01-01;в Банке России;11217;0;0;0
Альфа-Банк;1326;5;2019-01-01;индивидуальным предпринимателям;11218;0;0;0
Альфа-Банк;1326;5;2019-01-01;гражданам (физическим лицам);11219;528;0;528
Альфа-Банк;1326;5;2019-01-01;физическим лицам - нерезидентам;11220;0;0;0
Альфа-Банк;1326;5;2019-01-01;в Банке России;11301;0;0;0
Альфа-Банк;1326;5;2019-01-01;в кредитных организациях;11302;118;2556;2674
Альфа-Банк;1326;5;2019-01-01;в банках-нерезидентах;11303;0;194615;194615
Альфа-Банк;1326;5;2019-01-01;в Банке России;11401;8820304;0;8820304
Альфа-Банк;1326;5;2019-01-01;в кредитных организациях;11402;50784;0;50784
Альфа-Банк;1326;5;2019-01-01;в банках-нерезидентах;11403;58;0;58
Альфа-Банк;1326;5;2019-01-01;Российской Федерации;11501;1700011;165057;1865068
Альфа-Банк;1326;5;2019-01-01;субъектов Российской Федерации и органов местного самоуправления;11502;79;0;79
Альфа-Банк;1326;5;2019-01-01;Банка России;11503;0;0;0
Альфа-Банк;1326;5;2019-01-01;кредитных организаций;11504;2887;0;2887
Альфа-Банк;1326;5;2019-01-01;прочих резидентов;11505;249658;0;249658
Альфа-Банк;1326;5;2019-01-01;иностранных государств;11506;0;29125;29125
Альфа-Банк;1326;5;2019-01-01;банков-нерезидентов;11507;0;0;0
Альфа-Банк;1326;5;2019-01-01;прочих нерезидентов;11508;17795;1395216;1413011
Альфа-Банк;1326;5;2019-01-01;Российской Федерации;11601;532845;411819;944664
Альфа-Банк;1326;5;2019-01-01;субъектов Российской Федерации и органов местного самоуправления;11602;0;0;0
Альфа-Банк;1326;5;2019-01-01;Банка России;11603;9443766;0;9443766
Альфа-Банк;1326;5;2019-01-01;кредитных организаций;11604;0;0;0
Альфа-Банк;1326;5;2019-01-01;прочих резидентов;11605;539534;0;539534
Альфа-Банк;1326;5;2019-01-01;иностранных государств;11606;0;418428;418428
Альфа-Банк;1326;5;2019-01-01;банков-нерезидентов;11607;0;0;0
Альфа-Банк;1326;5;2019-01-01;прочих нерезидентов;11608;0;3967571;3967571
Альфа-Банк;1326;5;2019-01-01;Российской Федерации;11701;0;0;0
Альфа-Банк;1326;5;2019-01-01;субъектов Российской Федерации и органов местного самоуправления;11702;0;0;0
Альфа-Банк;1326;5;2019-01-01;Банка России;11703;0;0;0
Альфа-Банк;1326;5;2019-01-01;кредитных организаций;11704;0;0;0
Альфа-Банк;1326;5;2019-01-01;прочих резидентов;11705;6459611;0;6459611
Альфа-Банк;1326;5;2019-01-01;иностранных государств;11706;0;0;0
Альфа-Банк;1326;5;2019-01-01;банков-нерезидентов;11707;0;0;0
Альфа-Банк;1326;5;2019-01-01;прочих нерезидентов;11708;371458;4450230;4821688
Альфа-Банк;1326;5;2019-01-01;органов федеральной власти;11801;0;0;0
Альфа-Банк;1326;5;2019-01-01;органов власти субъектов Российской Федерации и органов местного самоуправления;11802;0;0;0
Альфа-Банк;1326;5;2019-01-01;кредитных организаций;11803;0;0;0
Альфа-Банк;1326;5;2019-01-01;прочих резидентов;11804;176910;0;176910
Альфа-Банк;1326;5;2019-01-01;органов государственной власти иностранных государств;11805;0;0;0
Альфа-Банк;1326;5;2019-01-01;органов местной власти иностранных государств;11806;0;0;0
Альфа-Банк;1326;5;2019-01-01;банков-нерезидентов;11807;0;0;0
Альфа-Банк;1326;5;2019-01-01;прочих нерезидентов;11808;0;0;0
Альфа-Банк;1326;5;2019-01-01;Минфину России;12101;0;0;0
Альфа-Банк;1326;5;2019-01-01;финансовым органам субъектов Российской Федерации и органов местного самоуправления;12102;0;0;0
Альфа-Банк;1326;5;2019-01-01;государственным внебюджетным фондам Российской Федерации;12103;0;0;0
Альфа-Банк;1326;5;2019-01-01;внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления;12104;0;0;0
Альфа-Банк;1326;5;2019-01-01;финансовым организациям, находящимся в федеральной собственности;12105;0;0;0
Альфа-Банк;1326;5;2019-01-01;коммерческим организациям, находящимся в федеральной собственности;12106;0;0;0
Альфа-Банк;1326;5;2019-01-01;некоммерческим организациям, находящимся в федеральной собственности;12107;0;0;0
Альфа-Банк;1326;5;2019-01-01;финансовым организациям, находящимся в государственной (кроме федеральной) собственности;12108;0;0;0
Альфа-Банк;1326;5;2019-01-01;коммерческим организациям, находящимся в государственной (кроме федеральной) собственности;12109;0;0;0
Альфа-Банк;1326;5;2019-01-01;некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности;12110;0;0;0
Альфа-Банк;1326;5;2019-01-01;негосударственным финансовым организациям;12111;0;0;0
Альфа-Банк;1326;5;2019-01-01;негосударственным коммерческим организациям;12112;49229;4348;53577
Альфа-Банк;1326;5;2019-01-01;негосударственным некоммерческим организациям;12113;0;0;0
Альфа-Банк;1326;5;2019-01-01;индивидуальным предпринимателям;12114;0;0;0
Альфа-Банк;1326;5;2019-01-01;гражданам (физическим лицам);12115;3096;0;3096
Альфа-Банк;1326;5;2019-01-01;юридическим лицам - нерезидентам;12116;0;9792;9792
Альфа-Банк;1326;5;2019-01-01;физическим лицам - нерезидентам;12117;0;0;0
Альфа-Банк;1326;5;2019-01-01;кредитным организациям;12118;0;0;0
Альфа-Банк;1326;5;2019-01-01;банкам-нерезидентам;12119;0;6505;6505
Альфа-Банк;1326;5;2019-01-01;иностранным государствам;12120;0;0;0
Альфа-Банк;1326;5;2019-01-01;в Минфине России;12201;0;0;0
Альфа-Банк;1326;5;2019-01-01;в финансовых органах субъектов Российской Федерации и органов местного самоуправления;12202;0;0;0
Альфа-Банк;1326;5;2019-01-01;в государственных внебюджетных фондах Российской Федерации;12203;0;0;0
Альфа-Банк;1326;5;2019-01-01;во внебюджетных фондах субъектов Российской Федерации и органов местного самоуправления;12204;0;0;0
Альфа-Банк;1326;5;2019-01-01;в финансовых организациях, находящихся в федеральной собственности;12205;0;0;0
Альфа-Банк;1326;5;2019-01-01;в коммерческих организациях, находящихся в федеральной собственности;12206;79481;0;79481
Альфа-Банк;1326;5;2019-01-01;в некоммерческих организациях, находящихся в федеральной собственности;12207;0;0;0
Альфа-Банк;1326;5;2019-01-01;в финансовых организациях, находящихся в государственной (кроме федеральной) собственности;12208;0;0;0
Альфа-Банк;1326;5;2019-01-01;в коммерческих организациях, находящихся в государственной (кроме федеральной) собственности;12209;0;0;0
Альфа-Банк;1326;5;2019-01-01;в некоммерческих организациях, находящихся в государственной (кроме федеральной) собственности;12210;0;0;0
Альфа-Банк;1326;5;2019-01-01;в негосударственных финансовых организациях;12211;0;0;0
Альфа-Банк;1326;5;2019-01-01;в негосударственных коммерческих организациях;12212;5224984;59520;5284504
Альфа-Банк;1326;5;2019-01-01;в негосударственных некоммерческих организациях;12213;0;0;0
