Банк;Номер лицензии банка;Место в рейтинге;Дата отчёта;Наименование статей;Символы;Суммы в рублях от операций в рублях;Суммы в рублях от операций в ин. валюте и драг. металлах;Всего
Банк «Открытие»;2209;8;2016-01-01;Минфину  России;11101;0;0;0
Банк «Открытие»;2209;8;2016-01-01;Финансовым органам субъектов Российской Федерации и органов местного самоуправления;11102;0;0;0
Банк «Открытие»;2209;8;2016-01-01;Государственным внебюджетным фондам Российской Федерации;11103;0;0;0
Банк «Открытие»;2209;8;2016-01-01;Внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления;11104;0;0;0
Банк «Открытие»;2209;8;2016-01-01;Финансовым организациям, находящимся в федеральной собственности;11105;0;0;0
Банк «Открытие»;2209;8;2016-01-01;Коммерческим организациям, находящимся в федеральной собственности;11106;33791;0;33791
Банк «Открытие»;2209;8;2016-01-01;Некоммерческим организациям, находящимся в федеральной собственности;11107;0;0;0
Банк «Открытие»;2209;8;2016-01-01;Финансовым организациям, находящимся в государственной (кроме федеральной) собственности;11108;0;0;0
Банк «Открытие»;2209;8;2016-01-01;Коммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11109;87232;0;87232
Банк «Открытие»;2209;8;2016-01-01;Некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11110;0;0;0
Банк «Открытие»;2209;8;2016-01-01;Негосударственным финансовым организациям;11111;8726934;1944809;10671743
Банк «Открытие»;2209;8;2016-01-01;Негосударственным коммерческим организациям;11112;51338750;11419938;62758688
Банк «Открытие»;2209;8;2016-01-01;Негосударственным некоммерческим организациям;11113;12576;0;12576
Банк «Открытие»;2209;8;2016-01-01;Индивидуальным предпринимателям;11114;765357;4986;770343
Банк «Открытие»;2209;8;2016-01-01;Гражданам (физическим лицам);11115;3904211;186388;4090599
Банк «Открытие»;2209;8;2016-01-01;Юридическим лицам-нерезидентам;11116;1713721;3442040;5155761
Банк «Открытие»;2209;8;2016-01-01;Физическим лицам-нерезидентам;11117;2621;425;3046
Банк «Открытие»;2209;8;2016-01-01;Кредитным организациям;11118;786341;863;787204
Банк «Открытие»;2209;8;2016-01-01;Банкам-нерезидентам;11119;2057593;57264;2114857
Банк «Открытие»;2209;8;2016-01-01;Минфине России;11201;0;0;0
Банк «Открытие»;2209;8;2016-01-01;Финансовых органах субъектов Российской Федерации и органов местного самоуправления;11202;0;0;0
Банк «Открытие»;2209;8;2016-01-01;Государственных внебюджетных фондах Российской Федерации;11203;0;0;0
Банк «Открытие»;2209;8;2016-01-01;Внебюджетных фондах субъектов Российской Федерации и органов местного самоуправления;11204;0;0;0
Банк «Открытие»;2209;8;2016-01-01;Финансовых организациях, находящихся в федеральной собственности;11205;0;0;0
Банк «Открытие»;2209;8;2016-01-01;Коммерческих организациях, находящихся в федеральной собственности;11206;0;0;0
Банк «Открытие»;2209;8;2016-01-01;Некоммерческих организациях, находящихся в федеральной собственности;11207;0;0;0
Банк «Открытие»;2209;8;2016-01-01;Финансовых организациях, находящихся в государственной (кроме федеральной) собственности;11208;0;0;0
Банк «Открытие»;2209;8;2016-01-01;Коммерческих организациях, находящихся в государственной (кроме федеральной) собственности;11209;0;0;0
Банк «Открытие»;2209;8;2016-01-01;Некоммерческими организациях, находящихся в государственной (кроме федеральной) собственности;11210;0;0;0
Банк «Открытие»;2209;8;2016-01-01;Негосударственных финансовых организациях;11211;1037561;369358;1406919
Банк «Открытие»;2209;8;2016-01-01;Негосударственных коммерческих организациях;11212;3834770;28153340;31988110
Банк «Открытие»;2209;8;2016-01-01;Негосударственных некоммерческих организациях;11213;0;0;0
Банк «Открытие»;2209;8;2016-01-01;Юридических лицах-нерезидентах;11214;11992242;756047;12748289
Банк «Открытие»;2209;8;2016-01-01;Кредитных организациях;11215;13391215;3089016;16480231
Банк «Открытие»;2209;8;2016-01-01;Банках-нерезидентах;11216;0;22158;22158
Банк «Открытие»;2209;8;2016-01-01;В Банке России;11217;0;0;0
Банк «Открытие»;2209;8;2016-01-01;В Банке России;11301;0;0;0
Банк «Открытие»;2209;8;2016-01-01;В кредитных организациях;11302;928;810;1738
Банк «Открытие»;2209;8;2016-01-01;В банках-нерезидентах;11303;0;3061;3061
Банк «Открытие»;2209;8;2016-01-01;В Банке России;11401;196630;0;196630
Банк «Открытие»;2209;8;2016-01-01;В кредитных организациях;11402;0;508021;508021
Банк «Открытие»;2209;8;2016-01-01;В банках-нерезидентах;11403;0;5536;5536
Банк «Открытие»;2209;8;2016-01-01;Российской Федерации;11501;2912602;1312180;4224782
Банк «Открытие»;2209;8;2016-01-01;Субъектов Российской Федерации и органов местного самоуправления;11502;2110343;0;2110343
Банк «Открытие»;2209;8;2016-01-01;Банка России;11503;0;0;0
Банк «Открытие»;2209;8;2016-01-01;Кредитных организаций;11504;6619633;16990;6636623
Банк «Открытие»;2209;8;2016-01-01;Прочие долговые обязательства;11505;12894097;26108;12920205
Банк «Открытие»;2209;8;2016-01-01;Иностранных государств;11506;0;1210;1210
Банк «Открытие»;2209;8;2016-01-01;Банков-нерезидентов;11507;34263;150538;184801
Банк «Открытие»;2209;8;2016-01-01;Прочие долговые обязательства нерезидентов;11508;978428;11174526;12152954
Банк «Открытие»;2209;8;2016-01-01;Органов федеральной власти;11601;0;0;0
Банк «Открытие»;2209;8;2016-01-01;Органов власти субъектов Российской Федерации и органов местного самоуправления;11602;0;0;0
Банк «Открытие»;2209;8;2016-01-01;Кредитных организаций;11603;35598;4335;39933
Банк «Открытие»;2209;8;2016-01-01;Векселям прочих резидентов;11604;4807;0;4807
Банк «Открытие»;2209;8;2016-01-01;Органов государственной власти иностранных государств;11605;0;0;0
Банк «Открытие»;2209;8;2016-01-01;Органов местной власти иностранных государств;11606;0;0;0
Банк «Открытие»;2209;8;2016-01-01;Банков-нерезидентов;11607;0;0;0
Банк «Открытие»;2209;8;2016-01-01;Векселям прочих нерезидентов;11608;0;0;0
Банк «Открытие»;2209;8;2016-01-01;Вознаграждение за открытие и ведение банковских счетов;12101;279184;6293;285477
Банк «Открытие»;2209;8;2016-01-01;Вознаграждение за расчетное и кассовое обслуживание;12102;3224867;212148;3437015
Банк «Открытие»;2209;8;2016-01-01;Доходы от купли-продажи иностранной валюты в наличной и безналичной формах;12201;359052436;;359052436
Банк «Открытие»;2209;8;2016-01-01;Доходы от выдачи банковских гарантий и поручительств;12301;1930973;39747;1970720
Банк «Открытие»;2209;8;2016-01-01;От погашения и реализации приобретенных прав требования;12401;3216357;;3216357
Банк «Открытие»;2209;8;2016-01-01;От операций по доверительному управлению имуществом;12402;0;0;0
Банк «Открытие»;2209;8;2016-01-01;От операций с драгоценными металлами и драгоценными камнями;12403;5418958;;5418958
Банк «Открытие»;2209;8;2016-01-01;От предоставления в аренду специальных помещений и сейфов для хранения документов и ценностей;12404;21950;0;21950
Банк «Открытие»;2209;8;2016-01-01;От операций финансовой аренды (лизинга);12405;0;0;0
Банк «Открытие»;2209;8;2016-01-01;От оказания консультационных и информационных услуг;12406;493;0;493
