Банк;Номер лицензии банка;Место в рейтинге;Дата отчёта;Наименование статей;Символы;Суммы в рублях от операций в рублях;Суммы в рублях от операций в ин. валюте и драг. металлах;Всего
Газпромбанк;354;3;2022-01-01;Минфину России;11101;0;0;0
Газпромбанк;354;3;2022-01-01;финансовым органам субъектов Российской Федерации и органов местного самоуправления;11102;958;0;958
Газпромбанк;354;3;2022-01-01;государственным внебюджетным фондам Российской Федерации;11103;0;0;0
Газпромбанк;354;3;2022-01-01;внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления;11104;0;0;0
Газпромбанк;354;3;2022-01-01;финансовым организациям, находящимся в федеральной собственности;11105;0;0;0
Газпромбанк;354;3;2022-01-01;коммерческим организациям, находящимся в федеральной собственности;11106;5408211;0;5408211
Газпромбанк;354;3;2022-01-01;некоммерческим организациям, находящимся в федеральной собственности;11107;41022;0;41022
Газпромбанк;354;3;2022-01-01;финансовым организациям, находящимся в государственной (кроме федеральной) собственности;11108;4131;0;4131
Газпромбанк;354;3;2022-01-01;коммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11109;37568;0;37568
Газпромбанк;354;3;2022-01-01;некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11110;444;0;444
Газпромбанк;354;3;2022-01-01;негосударственным финансовым организациям;11111;568353;20364;588717
Газпромбанк;354;3;2022-01-01;негосударственным коммерческим организациям;11112;260083039;27437068;287520107
Газпромбанк;354;3;2022-01-01;негосударственным некоммерческим организациям;11113;49982;0;49982
Газпромбанк;354;3;2022-01-01;индивидуальным предпринимателям;11114;5588;0;5588
Газпромбанк;354;3;2022-01-01;гражданам (физическим лицам);11115;61792050;171709;61963759
Газпромбанк;354;3;2022-01-01;юридическим лицам - нерезидентам;11116;3098960;13790124;16889084
Газпромбанк;354;3;2022-01-01;физическим лицам - нерезидентам;11117;63689;391089;454778
Газпромбанк;354;3;2022-01-01;кредитным организациям;11118;512062;1277781;1789843
Газпромбанк;354;3;2022-01-01;банкам-нерезидентам;11119;168052;1113572;1281624
Газпромбанк;354;3;2022-01-01;иностранным государствам;11120;0;0;0
Газпромбанк;354;3;2022-01-01;в Минфине России;11201;0;0;0
Газпромбанк;354;3;2022-01-01;в финансовых органах субъектов Российской Федерации и органов местного самоуправления;11202;0;0;0
Газпромбанк;354;3;2022-01-01;в государственных внебюджетных фондах Российской Федерации;11203;0;0;0
Газпромбанк;354;3;2022-01-01;во внебюджетных фондах субъектов Российской Федерации и органов местного самоуправления;11204;0;0;0
Газпромбанк;354;3;2022-01-01;в финансовых организациях, находящихся в федеральной собственности;11205;0;0;0
Газпромбанк;354;3;2022-01-01;в коммерческих организациях, находящихся в федеральной собственности;11206;481817;0;481817
Газпромбанк;354;3;2022-01-01;в некоммерческих организациях, находящихся в федеральной собственности;11207;448260;0;448260
Газпромбанк;354;3;2022-01-01;в финансовых организациях, находящихся в государственной (кроме федеральной) собственности;11208;0;0;0
Газпромбанк;354;3;2022-01-01;в коммерческих организациях, находящихся в государственной (кроме федеральной) собственности;11209;0;0;0
Газпромбанк;354;3;2022-01-01;в некоммерческих организациях, находящихся в государственной (кроме федеральной) собственности;11210;0;0;0
Газпромбанк;354;3;2022-01-01;в негосударственных финансовых организациях;11211;25120;0;25120
Газпромбанк;354;3;2022-01-01;в негосударственных коммерческих организациях;11212;831351;85742;917093
Газпромбанк;354;3;2022-01-01;в негосударственных некоммерческих организациях;11213;0;0;0
Газпромбанк;354;3;2022-01-01;в юридических лицах - нерезидентах;11214;167995;445652;613647
Газпромбанк;354;3;2022-01-01;в кредитных организациях;11215;24630108;1057075;25687183
Газпромбанк;354;3;2022-01-01;в банках-нерезидентах;11216;850710;17887;868597
Газпромбанк;354;3;2022-01-01;в Банке России;11217;0;0;0
Газпромбанк;354;3;2022-01-01;индивидуальным предпринимателям;11218;0;0;0
Газпромбанк;354;3;2022-01-01;гражданам (физическим лицам);11219;693;9460;10153
Газпромбанк;354;3;2022-01-01;физическим лицам - нерезидентам;11220;0;0;0
Газпромбанк;354;3;2022-01-01;в Банке России;11301;0;0;0
Газпромбанк;354;3;2022-01-01;в кредитных организациях;11302;8377840;8365;8386205
Газпромбанк;354;3;2022-01-01;в банках-нерезидентах;11303;0;50503;50503
Газпромбанк;354;3;2022-01-01;в Банке России;11401;711089;0;711089
Газпромбанк;354;3;2022-01-01;в кредитных организациях;11402;0;0;0
Газпромбанк;354;3;2022-01-01;в банках-нерезидентах;11403;0;1815;1815
Газпромбанк;354;3;2022-01-01;Российской Федерации;11501;2066626;186032;2252658
Газпромбанк;354;3;2022-01-01;субъектов Российской Федерации и органов местного самоуправления;11502;99746;0;99746
Газпромбанк;354;3;2022-01-01;Банка России;11503;1450018;0;1450018
Газпромбанк;354;3;2022-01-01;кредитных организаций;11504;41438;1926;43364
Газпромбанк;354;3;2022-01-01;прочих резидентов;11505;2667568;0;2667568
Газпромбанк;354;3;2022-01-01;иностранных государств;11506;494280;86563;580843
Газпромбанк;354;3;2022-01-01;банков-нерезидентов;11507;614;32632;33246
Газпромбанк;354;3;2022-01-01;прочих нерезидентов;11508;998970;1008623;2007593
Газпромбанк;354;3;2022-01-01;Российской Федерации;11601;0;0;0
Газпромбанк;354;3;2022-01-01;субъектов Российской Федерации и органов местного самоуправления;11602;0;0;0
Газпромбанк;354;3;2022-01-01;Банка России;11603;0;0;0
Газпромбанк;354;3;2022-01-01;кредитных организаций;11604;0;0;0
Газпромбанк;354;3;2022-01-01;прочих резидентов;11605;0;0;0
Газпромбанк;354;3;2022-01-01;иностранных государств;11606;0;0;0
Газпромбанк;354;3;2022-01-01;банков-нерезидентов;11607;0;0;0
Газпромбанк;354;3;2022-01-01;прочих нерезидентов;11608;0;0;0
Газпромбанк;354;3;2022-01-01;Российской Федерации;11701;18219667;1873651;20093318
Газпромбанк;354;3;2022-01-01;субъектов Российской Федерации и органов местного самоуправления;11702;0;0;0
Газпромбанк;354;3;2022-01-01;Банка России;11703;0;0;0
Газпромбанк;354;3;2022-01-01;кредитных организаций;11704;71429;1565160;1636589
Газпромбанк;354;3;2022-01-01;прочих резидентов;11705;11014483;47486;11061969
Газпромбанк;354;3;2022-01-01;иностранных государств;11706;0;0;0
Газпромбанк;354;3;2022-01-01;банков-нерезидентов;11707;0;0;0
Газпромбанк;354;3;2022-01-01;прочих нерезидентов;11708;0;1627201;1627201
Газпромбанк;354;3;2022-01-01;органов федеральной власти;11801;0;0;0
Газпромбанк;354;3;2022-01-01;органов власти субъектов Российской Федерации и органов местного самоуправления;11802;0;0;0
Газпромбанк;354;3;2022-01-01;кредитных организаций;11803;0;3114;3114
Газпромбанк;354;3;2022-01-01;прочих резидентов;11804;103228;0;103228
Газпромбанк;354;3;2022-01-01;органов государственной власти иностранных государств;11805;0;0;0
Газпромбанк;354;3;2022-01-01;органов местной власти иностранных государств;11806;0;0;0
Газпромбанк;354;3;2022-01-01;банков-нерезидентов;11807;0;0;0
Газпромбанк;354;3;2022-01-01;прочих нерезидентов;11808;0;0;0
Газпромбанк;354;3;2022-01-01;Минфину России;12101;0;0;0
Газпромбанк;354;3;2022-01-01;финансовым органам субъектов Российской Федерации и органов местного самоуправления;12102;0;0;0
Газпромбанк;354;3;2022-01-01;государственным внебюджетным фондам Российской Федерации;12103;0;0;0
Газпромбанк;354;3;2022-01-01;внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления;12104;0;0;0
Газпромбанк;354;3;2022-01-01;финансовым организациям, находящимся в федеральной собственности;12105;0;0;0
Газпромбанк;354;3;2022-01-01;коммерческим организациям, находящимся в федеральной собственности;12106;38019;0;38019
Газпромбанк;354;3;2022-01-01;некоммерческим организациям, находящимся в федеральной собственности;12107;0;0;0
Газпромбанк;354;3;2022-01-01;финансовым организациям, находящимся в государственной (кроме федеральной) собственности;12108;0;0;0
Газпромбанк;354;3;2022-01-01;коммерческим организациям, находящимся в государственной (кроме федеральной) собственности;12109;0;0;0
Газпромбанк;354;3;2022-01-01;некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности;12110;0;0;0
Газпромбанк;354;3;2022-01-01;негосударственным финансовым организациям;12111;0;0;0
Газпромбанк;354;3;2022-01-01;негосударственным коммерческим организациям;12112;1937811;331720;2269531
Газпромбанк;354;3;2022-01-01;негосударственным некоммерческим организациям;12113;0;0;0
Газпромбанк;354;3;2022-01-01;индивидуальным предпринимателям;12114;0;0;0
Газпромбанк;354;3;2022-01-01;гражданам (физическим лицам);12115;1651559;0;1651559
Газпромбанк;354;3;2022-01-01;юридическим лицам - нерезидентам;12116;58750;1168432;1227182
Газпромбанк;354;3;2022-01-01;физическим лицам - нерезидентам;12117;50;0;50
Газпромбанк;354;3;2022-01-01;кредитным организациям;12118;0;0;0
Газпромбанк;354;3;2022-01-01;банкам-нерезидентам;12119;0;24535;24535
Газпромбанк;354;3;2022-01-01;иностранным государствам;12120;0;0;0
Газпромбанк;354;3;2022-01-01;в Минфине России;12201;0;0;0
Газпромбанк;354;3;2022-01-01;в финансовых органах субъектов Российской Федерации и органов местного самоуправления;12202;0;0;0
Газпромбанк;354;3;2022-01-01;в государственных внебюджетных фондах Российской Федерации;12203;0;0;0
Газпромбанк;354;3;2022-01-01;во внебюджетных фондах субъектов Российской Федерации и органов местного самоуправления;12204;0;0;0
Газпромбанк;354;3;2022-01-01;в финансовых организациях, находящихся в федеральной собственности;12205;0;0;0
Газпромбанк;354;3;2022-01-01;в коммерческих организациях, находящихся в федеральной собственности;12206;0;0;0
Газпромбанк;354;3;2022-01-01;в некоммерческих организациях, находящихся в федеральной собственности;12207;0;0;0
Газпромбанк;354;3;2022-01-01;в финансовых организациях, находящихся в государственной (кроме федеральной) собственности;12208;0;0;0
Газпромбанк;354;3;2022-01-01;в коммерческих организациях, находящихся в государственной (кроме федеральной) собственности;12209;0;0;0
Газпромбанк;354;3;2022-01-01;в некоммерческих организациях, находящихся в государственной (кроме федеральной) собственности;12210;0;0;0
