Банк;Номер лицензии банка;Место в рейтинге;Дата отчёта;Наименование статей;Символы;Суммы в рублях от операций в рублях;Суммы в рублях от операций в ин. валюте и драг. металлах;Всего
Московский кредитный банк (МКБ);1978;7;2019-01-01;Минфину России;11101;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;финансовым органам субъектов Российской Федерации и органов местного самоуправления;11102;7937;0;7937
Московский кредитный банк (МКБ);1978;7;2019-01-01;государственным внебюджетным фондам Российской Федерации;11103;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления;11104;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;финансовым организациям, находящимся в федеральной собственности;11105;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;коммерческим организациям, находящимся в федеральной собственности;11106;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;некоммерческим организациям, находящимся в федеральной собственности;11107;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;финансовым организациям, находящимся в государственной (кроме федеральной) собственности;11108;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;коммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11109;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11110;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;негосударственным финансовым организациям;11111;1904924;0;1904924
Московский кредитный банк (МКБ);1978;7;2019-01-01;негосударственным коммерческим организациям;11112;36704282;5949767;42654049
Московский кредитный банк (МКБ);1978;7;2019-01-01;негосударственным некоммерческим организациям;11113;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;индивидуальным предпринимателям;11114;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;гражданам (физическим лицам);11115;13030668;306329;13336997
Московский кредитный банк (МКБ);1978;7;2019-01-01;юридическим лицам - нерезидентам;11116;2525534;6890854;9416388
Московский кредитный банк (МКБ);1978;7;2019-01-01;физическим лицам - нерезидентам;11117;231244;1200;232444
Московский кредитный банк (МКБ);1978;7;2019-01-01;кредитным организациям;11118;90804;0;90804
Московский кредитный банк (МКБ);1978;7;2019-01-01;банкам-нерезидентам;11119;0;10730;10730
Московский кредитный банк (МКБ);1978;7;2019-01-01;иностранным государствам;11120;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;в Минфине России;11201;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;в финансовых органах субъектов Российской Федерации и органов местного самоуправления;11202;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;в государственных внебюджетных фондах Российской Федерации;11203;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;во внебюджетных фондах субъектов Российской Федерации и органов местного самоуправления;11204;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;в финансовых организациях, находящихся в федеральной собственности;11205;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;в коммерческих организациях, находящихся в федеральной собственности;11206;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;в некоммерческих организациях, находящихся в федеральной собственности;11207;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;в финансовых организациях, находящихся в государственной (кроме федеральной) собственности;11208;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;в коммерческих организациях, находящихся в государственной (кроме федеральной) собственности;11209;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;в некоммерческих организациях, находящихся в государственной (кроме федеральной) собственности;11210;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;в негосударственных финансовых организациях;11211;41217363;13555688;54773051
Московский кредитный банк (МКБ);1978;7;2019-01-01;в негосударственных коммерческих организациях;11212;678649;8581;687230
Московский кредитный банк (МКБ);1978;7;2019-01-01;в негосударственных некоммерческих организациях;11213;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;в юридических лицах - нерезидентах;11214;1502821;417561;1920382
Московский кредитный банк (МКБ);1978;7;2019-01-01;в кредитных организациях;11215;737386;58607;795993
Московский кредитный банк (МКБ);1978;7;2019-01-01;в банках-нерезидентах;11216;0;16251;16251
Московский кредитный банк (МКБ);1978;7;2019-01-01;в Банке России;11217;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;индивидуальным предпринимателям;11218;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;гражданам (физическим лицам);11219;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;физическим лицам - нерезидентам;11220;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;в Банке России;11301;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;в кредитных организациях;11302;1996;783;2779
Московский кредитный банк (МКБ);1978;7;2019-01-01;в банках-нерезидентах;11303;0;25672;25672
Московский кредитный банк (МКБ);1978;7;2019-01-01;в Банке России;11401;68201;0;68201
Московский кредитный банк (МКБ);1978;7;2019-01-01;в кредитных организациях;11402;17161;0;17161
Московский кредитный банк (МКБ);1978;7;2019-01-01;в банках-нерезидентах;11403;0;33720;33720
Московский кредитный банк (МКБ);1978;7;2019-01-01;Российской Федерации;11501;1824696;3388685;5213381
Московский кредитный банк (МКБ);1978;7;2019-01-01;субъектов Российской Федерации и органов местного самоуправления;11502;90476;0;90476
Московский кредитный банк (МКБ);1978;7;2019-01-01;Банка России;11503;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;кредитных организаций;11504;279149;0;279149
Московский кредитный банк (МКБ);1978;7;2019-01-01;прочих резидентов;11505;3545523;0;3545523
Московский кредитный банк (МКБ);1978;7;2019-01-01;иностранных государств;11506;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;банков-нерезидентов;11507;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;прочих нерезидентов;11508;12628;806809;819437
Московский кредитный банк (МКБ);1978;7;2019-01-01;Российской Федерации;11601;0;545493;545493
Московский кредитный банк (МКБ);1978;7;2019-01-01;субъектов Российской Федерации и органов местного самоуправления;11602;9686;0;9686
Московский кредитный банк (МКБ);1978;7;2019-01-01;Банка России;11603;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;кредитных организаций;11604;2372;0;2372
Московский кредитный банк (МКБ);1978;7;2019-01-01;прочих резидентов;11605;1310968;0;1310968
Московский кредитный банк (МКБ);1978;7;2019-01-01;иностранных государств;11606;0;2;2
Московский кредитный банк (МКБ);1978;7;2019-01-01;банков-нерезидентов;11607;0;22;22
Московский кредитный банк (МКБ);1978;7;2019-01-01;прочих нерезидентов;11608;74734;1404472;1479206
Московский кредитный банк (МКБ);1978;7;2019-01-01;Российской Федерации;11701;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;субъектов Российской Федерации и органов местного самоуправления;11702;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;Банка России;11703;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;кредитных организаций;11704;118345;0;118345
Московский кредитный банк (МКБ);1978;7;2019-01-01;прочих резидентов;11705;300214;0;300214
Московский кредитный банк (МКБ);1978;7;2019-01-01;иностранных государств;11706;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;банков-нерезидентов;11707;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;прочих нерезидентов;11708;0;603876;603876
Московский кредитный банк (МКБ);1978;7;2019-01-01;органов федеральной власти;11801;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;органов власти субъектов Российской Федерации и органов местного самоуправления;11802;0;0;0
Московский кредитный банк (МКБ);1978;7;2019-01-01;кредитных организаций;11803;2900;0;2900
