Банк;Номер лицензии банка;Место в рейтинге;Дата отчёта;Наименование статей;Символы;Суммы в рублях от операций в рублях;Суммы в рублях от операций в ин. валюте и драг. металлах;Всего
НКЦ (Национальный клиринговый центр);3466;4;2022-01-01;Минфину России;11101;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2022-01-01;финансовым органам субъектов Российской Федерации и органов местного самоуправления;11102;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2022-01-01;государственным внебюджетным фондам Российской Федерации;11103;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2022-01-01;внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления;11104;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2022-01-01;финансовым организациям, находящимся в федеральной собственности;11105;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2022-01-01;коммерческим организациям, находящимся в федеральной собственности;11106;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2022-01-01;некоммерческим организациям, находящимся в федеральной собственности;11107;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2022-01-01;финансовым организациям, находящимся в государственной (кроме федеральной) собственности;11108;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2022-01-01;коммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11109;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2022-01-01;некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11110;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2022-01-01;негосударственным финансовым организациям;11111;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2022-01-01;негосударственным коммерческим организациям;11112;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2022-01-01;негосударственным некоммерческим организациям;11113;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2022-01-01;индивидуальным предпринимателям;11114;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2022-01-01;гражданам (физическим лицам);11115;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2022-01-01;юридическим лицам - нерезидентам;11116;0;0;0
