Банк;Номер лицензии банка;Место в рейтинге;Дата отчёта;Наименование статей;Символы;Суммы в рублях от операций в рублях;Суммы в рублях от операций в ин. валюте и драг. металлах;Всего
Райффайзен Банк;3292;10;2016-01-01;Минфину  России;11101;0;0;0
Райффайзен Банк;3292;10;2016-01-01;Финансовым органам субъектов Российской Федерации и органов местного самоуправления;11102;64;0;64
Райффайзен Банк;3292;10;2016-01-01;Государственным внебюджетным фондам Российской Федерации;11103;0;0;0
Райффайзен Банк;3292;10;2016-01-01;Внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления;11104;0;0;0
Райффайзен Банк;3292;10;2016-01-01;Финансовым организациям, находящимся в федеральной собственности;11105;0;0;0
Райффайзен Банк;3292;10;2016-01-01;Коммерческим организациям, находящимся в федеральной собственности;11106;0;0;0
Райффайзен Банк;3292;10;2016-01-01;Некоммерческим организациям, находящимся в федеральной собственности;11107;7840;0;7840
Райффайзен Банк;3292;10;2016-01-01;Финансовым организациям, находящимся в государственной (кроме федеральной) собственности;11108;0;0;0
Райффайзен Банк;3292;10;2016-01-01;Коммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11109;0;0;0
Райффайзен Банк;3292;10;2016-01-01;Некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11110;0;0;0
Райффайзен Банк;3292;10;2016-01-01;Негосударственным финансовым организациям;11111;336094;264326;600420
Райффайзен Банк;3292;10;2016-01-01;Негосударственным коммерческим организациям;11112;14702626;9026344;23728970
Райффайзен Банк;3292;10;2016-01-01;Негосударственным некоммерческим организациям;11113;12053;0;12053
Райффайзен Банк;3292;10;2016-01-01;Индивидуальным предпринимателям;11114;1234518;1658;1236176
Райффайзен Банк;3292;10;2016-01-01;Гражданам (физическим лицам);11115;28650352;2151262;30801614
Райффайзен Банк;3292;10;2016-01-01;Юридическим лицам-нерезидентам;11116;1139374;2459540;3598914
Райффайзен Банк;3292;10;2016-01-01;Физическим лицам-нерезидентам;11117;86008;39252;125260
Райффайзен Банк;3292;10;2016-01-01;Кредитным организациям;11118;430359;0;430359
Райффайзен Банк;3292;10;2016-01-01;Банкам-нерезидентам;11119;5004;53031;58035
Райффайзен Банк;3292;10;2016-01-01;Минфине России;11201;0;0;0
Райффайзен Банк;3292;10;2016-01-01;Финансовых органах субъектов Российской Федерации и органов местного самоуправления;11202;0;0;0
Райффайзен Банк;3292;10;2016-01-01;Государственных внебюджетных фондах Российской Федерации;11203;0;0;0
Райффайзен Банк;3292;10;2016-01-01;Внебюджетных фондах субъектов Российской Федерации и органов местного самоуправления;11204;0;0;0
Райффайзен Банк;3292;10;2016-01-01;Финансовых организациях, находящихся в федеральной собственности;11205;0;0;0
Райффайзен Банк;3292;10;2016-01-01;Коммерческих организациях, находящихся в федеральной собственности;11206;0;0;0
Райффайзен Банк;3292;10;2016-01-01;Некоммерческих организациях, находящихся в федеральной собственности;11207;0;0;0
Райффайзен Банк;3292;10;2016-01-01;Финансовых организациях, находящихся в государственной (кроме федеральной) собственности;11208;0;0;0
Райффайзен Банк;3292;10;2016-01-01;Коммерческих организациях, находящихся в государственной (кроме федеральной) собственности;11209;0;0;0
Райффайзен Банк;3292;10;2016-01-01;Некоммерческими организациях, находящихся в государственной (кроме федеральной) собственности;11210;0;0;0
Райффайзен Банк;3292;10;2016-01-01;Негосударственных финансовых организациях;11211;221962;24217;246179
Райффайзен Банк;3292;10;2016-01-01;Негосударственных коммерческих организациях;11212;280;0;280
Райффайзен Банк;3292;10;2016-01-01;Негосударственных некоммерческих организациях;11213;0;0;0
