Банк;Номер лицензии банка;Место в рейтинге;Дата отчёта;Наименование статей;Символы;Суммы в рублях от операций в рублях;Суммы в рублях от операций в ин. валюте и драг. металлах;Всего
Россельхозбанк;3349;6;2019-01-01;Минфину России;11101;0;0;0
Россельхозбанк;3349;6;2019-01-01;финансовым органам субъектов Российской Федерации и органов местного самоуправления;11102;34776;0;34776
Россельхозбанк;3349;6;2019-01-01;государственным внебюджетным фондам Российской Федерации;11103;0;0;0
Россельхозбанк;3349;6;2019-01-01;внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления;11104;0;0;0
Россельхозбанк;3349;6;2019-01-01;финансовым организациям, находящимся в федеральной собственности;11105;0;0;0
Россельхозбанк;3349;6;2019-01-01;коммерческим организациям, находящимся в федеральной собственности;11106;5857040;0;5857040
Россельхозбанк;3349;6;2019-01-01;некоммерческим организациям, находящимся в федеральной собственности;11107;55;0;55
Россельхозбанк;3349;6;2019-01-01;финансовым организациям, находящимся в государственной (кроме федеральной) собственности;11108;295;0;295
Россельхозбанк;3349;6;2019-01-01;коммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11109;90284;0;90284
Россельхозбанк;3349;6;2019-01-01;некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11110;0;0;0
Россельхозбанк;3349;6;2019-01-01;негосударственным финансовым организациям;11111;457352;0;457352
Россельхозбанк;3349;6;2019-01-01;негосударственным коммерческим организациям;11112;105837297;18238593;124075890
Россельхозбанк;3349;6;2019-01-01;негосударственным некоммерческим организациям;11113;101000;0;101000
Россельхозбанк;3349;6;2019-01-01;индивидуальным предпринимателям;11114;3195625;1522;3197147
Россельхозбанк;3349;6;2019-01-01;гражданам (физическим лицам);11115;53092679;15156;53107835
Россельхозбанк;3349;6;2019-01-01;юридическим лицам - нерезидентам;11116;0;0;0
Россельхозбанк;3349;6;2019-01-01;физическим лицам - нерезидентам;11117;601;0;601
Россельхозбанк;3349;6;2019-01-01;кредитным организациям;11118;1644586;66539;1711125
Россельхозбанк;3349;6;2019-01-01;банкам-нерезидентам;11119;34641;1587947;1622588
Россельхозбанк;3349;6;2019-01-01;иностранным государствам;11120;0;0;0
Россельхозбанк;3349;6;2019-01-01;в Минфине России;11201;0;0;0
Россельхозбанк;3349;6;2019-01-01;в финансовых органах субъектов Российской Федерации и органов местного самоуправления;11202;0;0;0
Россельхозбанк;3349;6;2019-01-01;в государственных внебюджетных фондах Российской Федерации;11203;0;0;0
Россельхозбанк;3349;6;2019-01-01;во внебюджетных фондах субъектов Российской Федерации и органов местного самоуправления;11204;0;0;0
Россельхозбанк;3349;6;2019-01-01;в финансовых организациях, находящихся в федеральной собственности;11205;0;0;0
Россельхозбанк;3349;6;2019-01-01;в коммерческих организациях, находящихся в федеральной собственности;11206;1829;0;1829
Россельхозбанк;3349;6;2019-01-01;в некоммерческих организациях, находящихся в федеральной собственности;11207;0;0;0
Россельхозбанк;3349;6;2019-01-01;в финансовых организациях, находящихся в государственной (кроме федеральной) собственности;11208;0;0;0
Россельхозбанк;3349;6;2019-01-01;в коммерческих организациях, находящихся в государственной (кроме федеральной) собственности;11209;0;0;0
Россельхозбанк;3349;6;2019-01-01;в некоммерческих организациях, находящихся в государственной (кроме федеральной) собственности;11210;0;0;0
Россельхозбанк;3349;6;2019-01-01;в негосударственных финансовых организациях;11211;2462;0;2462
Россельхозбанк;3349;6;2019-01-01;в негосударственных коммерческих организациях;11212;0;0;0
Россельхозбанк;3349;6;2019-01-01;в негосударственных некоммерческих организациях;11213;0;0;0
Россельхозбанк;3349;6;2019-01-01;в юридических лицах - нерезидентах;11214;0;0;0
Россельхозбанк;3349;6;2019-01-01;в кредитных организациях;11215;209513;14247;223760
Россельхозбанк;3349;6;2019-01-01;в банках-нерезидентах;11216;0;13530;13530
Россельхозбанк;3349;6;2019-01-01;в Банке России;11217;0;0;0
Россельхозбанк;3349;6;2019-01-01;индивидуальным предпринимателям;11218;0;0;0
Россельхозбанк;3349;6;2019-01-01;гражданам (физическим лицам);11219;0;0;0
Россельхозбанк;3349;6;2019-01-01;физическим лицам - нерезидентам;11220;0;0;0
Россельхозбанк;3349;6;2019-01-01;в Банке России;11301;0;0;0
Россельхозбанк;3349;6;2019-01-01;в кредитных организациях;11302;803;335;1138
Россельхозбанк;3349;6;2019-01-01;в банках-нерезидентах;11303;0;6214;6214
Россельхозбанк;3349;6;2019-01-01;в Банке России;11401;9700137;0;9700137
Россельхозбанк;3349;6;2019-01-01;в кредитных организациях;11402;0;0;0
Россельхозбанк;3349;6;2019-01-01;в банках-нерезидентах;11403;0;1461316;1461316
Россельхозбанк;3349;6;2019-01-01;Российской Федерации;11501;1247195;0;1247195
Россельхозбанк;3349;6;2019-01-01;субъектов Российской Федерации и органов местного самоуправления;11502;0;0;0
Россельхозбанк;3349;6;2019-01-01;Банка России;11503;0;0;0
Россельхозбанк;3349;6;2019-01-01;кредитных организаций;11504;0;0;0
Россельхозбанк;3349;6;2019-01-01;прочих резидентов;11505;75800;0;75800
Россельхозбанк;3349;6;2019-01-01;иностранных государств;11506;0;0;0
Россельхозбанк;3349;6;2019-01-01;банков-нерезидентов;11507;0;0;0
Россельхозбанк;3349;6;2019-01-01;прочих нерезидентов;11508;0;0;0
Россельхозбанк;3349;6;2019-01-01;Российской Федерации;11601;12393301;312390;12705691
Россельхозбанк;3349;6;2019-01-01;субъектов Российской Федерации и органов местного самоуправления;11602;719195;0;719195
Россельхозбанк;3349;6;2019-01-01;Банка России;11603;3360874;0;3360874
Россельхозбанк;3349;6;2019-01-01;кредитных организаций;11604;995871;0;995871
Россельхозбанк;3349;6;2019-01-01;прочих резидентов;11605;2962700;0;2962700
Россельхозбанк;3349;6;2019-01-01;иностранных государств;11606;0;0;0
Россельхозбанк;3349;6;2019-01-01;банков-нерезидентов;11607;256051;12451;268502
Россельхозбанк;3349;6;2019-01-01;прочих нерезидентов;11608;156003;4161256;4317259
Россельхозбанк;3349;6;2019-01-01;Российской Федерации;11701;126361;0;126361
Россельхозбанк;3349;6;2019-01-01;субъектов Российской Федерации и органов местного самоуправления;11702;2009262;0;2009262
Россельхозбанк;3349;6;2019-01-01;Банка России;11703;0;0;0
Россельхозбанк;3349;6;2019-01-01;кредитных организаций;11704;4557;0;4557
Россельхозбанк;3349;6;2019-01-01;прочих резидентов;11705;3278393;0;3278393
Россельхозбанк;3349;6;2019-01-01;иностранных государств;11706;0;0;0
Россельхозбанк;3349;6;2019-01-01;банков-нерезидентов;11707;0;0;0
Россельхозбанк;3349;6;2019-01-01;прочих нерезидентов;11708;0;0;0
Россельхозбанк;3349;6;2019-01-01;органов федеральной власти;11801;0;0;0
Россельхозбанк;3349;6;2019-01-01;органов власти субъектов Российской Федерации и органов местного самоуправления;11802;0;0;0
Россельхозбанк;3349;6;2019-01-01;кредитных организаций;11803;99608;0;99608
Россельхозбанк;3349;6;2019-01-01;прочих резидентов;11804;0;0;0
Россельхозбанк;3349;6;2019-01-01;органов государственной власти иностранных государств;11805;0;0;0
Россельхозбанк;3349;6;2019-01-01;органов местной власти иностранных государств;11806;0;0;0
Россельхозбанк;3349;6;2019-01-01;банков-нерезидентов;11807;0;0;0
Россельхозбанк;3349;6;2019-01-01;прочих нерезидентов;11808;0;0;0
Россельхозбанк;3349;6;2019-01-01;Минфину России;12101;0;0;0
Россельхозбанк;3349;6;2019-01-01;финансовым органам субъектов Российской Федерации и органов местного самоуправления;12102;0;0;0
