Банк;Номер лицензии банка;Место в рейтинге;Дата отчёта;Наименование статей;Символы;Суммы в рублях от операций в рублях;Суммы в рублях от операций в ин. валюте и драг. металлах;Всего
Сбербанк;1481;1;2016-01-01;Минфину  России;11101;0;0;0
Сбербанк;1481;1;2016-01-01;Финансовым органам субъектов Российской Федерации и органов местного самоуправления;11102;73223245;0;73223245
Сбербанк;1481;1;2016-01-01;Государственным внебюджетным фондам Российской Федерации;11103;0;0;0
Сбербанк;1481;1;2016-01-01;Внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления;11104;0;0;0
Сбербанк;1481;1;2016-01-01;Финансовым организациям, находящимся в федеральной собственности;11105;0;0;0
Сбербанк;1481;1;2016-01-01;Коммерческим организациям, находящимся в федеральной собственности;11106;15727704;1098418;16826122
Сбербанк;1481;1;2016-01-01;Некоммерческим организациям, находящимся в федеральной собственности;11107;1279134;0;1279134
Сбербанк;1481;1;2016-01-01;Финансовым организациям, находящимся в государственной (кроме федеральной) собственности;11108;0;0;0
Сбербанк;1481;1;2016-01-01;Коммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11109;3355953;0;3355953
Сбербанк;1481;1;2016-01-01;Некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11110;7277;0;7277
Сбербанк;1481;1;2016-01-01;Негосударственным финансовым организациям;11111;9215248;1768710;10983958
Сбербанк;1481;1;2016-01-01;Негосударственным коммерческим организациям;11112;719274836;143929403;863204239
Сбербанк;1481;1;2016-01-01;Негосударственным некоммерческим организациям;11113;866966;0;866966
Сбербанк;1481;1;2016-01-01;Индивидуальным предпринимателям;11114;36529610;120561;36650171
Сбербанк;1481;1;2016-01-01;Гражданам (физическим лицам);11115;630107657;645557;630753214
Сбербанк;1481;1;2016-01-01;Юридическим лицам-нерезидентам;11116;24569809;81351952;105921761
Сбербанк;1481;1;2016-01-01;Физическим лицам-нерезидентам;11117;12845;1885;14730
Сбербанк;1481;1;2016-01-01;Кредитным организациям;11118;12135440;311701;12447141
Сбербанк;1481;1;2016-01-01;Банкам-нерезидентам;11119;2411268;14084885;16496153
Сбербанк;1481;1;2016-01-01;Минфине России;11201;0;0;0
Сбербанк;1481;1;2016-01-01;Финансовых органах субъектов Российской Федерации и органов местного самоуправления;11202;0;0;0
Сбербанк;1481;1;2016-01-01;Государственных внебюджетных фондах Российской Федерации;11203;0;0;0
Сбербанк;1481;1;2016-01-01;Внебюджетных фондах субъектов Российской Федерации и органов местного самоуправления;11204;0;0;0
Сбербанк;1481;1;2016-01-01;Финансовых организациях, находящихся в федеральной собственности;11205;272233;0;272233
Сбербанк;1481;1;2016-01-01;Коммерческих организациях, находящихся в федеральной собственности;11206;0;0;0
Сбербанк;1481;1;2016-01-01;Некоммерческих организациях, находящихся в федеральной собственности;11207;0;0;0
Сбербанк;1481;1;2016-01-01;Финансовых организациях, находящихся в государственной (кроме федеральной) собственности;11208;0;0;0
Сбербанк;1481;1;2016-01-01;Коммерческих организациях, находящихся в государственной (кроме федеральной) собственности;11209;0;0;0
Сбербанк;1481;1;2016-01-01;Некоммерческими организациях, находящихся в государственной (кроме федеральной) собственности;11210;0;0;0
Сбербанк;1481;1;2016-01-01;Негосударственных финансовых организациях;11211;4168167;47625;4215792
Сбербанк;1481;1;2016-01-01;Негосударственных коммерческих организациях;11212;86968;0;86968
Сбербанк;1481;1;2016-01-01;Негосударственных некоммерческих организациях;11213;0;0;0
Сбербанк;1481;1;2016-01-01;Юридических лицах-нерезидентах;11214;203489;808904;1012393
Сбербанк;1481;1;2016-01-01;Кредитных организациях;11215;8439441;631519;9070960
Сбербанк;1481;1;2016-01-01;Банках-нерезидентах;11216;1397358;5102158;6499516
Сбербанк;1481;1;2016-01-01;В Банке России;11217;0;0;0
Сбербанк;1481;1;2016-01-01;В Банке России;11301;0;0;0
Сбербанк;1481;1;2016-01-01;В кредитных организациях;11302;4198;14992;19190
Сбербанк;1481;1;2016-01-01;В банках-нерезидентах;11303;0;307782;307782
Сбербанк;1481;1;2016-01-01;В Банке России;11401;124658;0;124658
Сбербанк;1481;1;2016-01-01;В кредитных организациях;11402;0;0;0
Сбербанк;1481;1;2016-01-01;В банках-нерезидентах;11403;0;245432;245432
Сбербанк;1481;1;2016-01-01;Российской Федерации;11501;64891942;8241343;73133285
Сбербанк;1481;1;2016-01-01;Субъектов Российской Федерации и органов местного самоуправления;11502;6226016;0;6226016
Сбербанк;1481;1;2016-01-01;Банка России;11503;0;0;0
Сбербанк;1481;1;2016-01-01;Кредитных организаций;11504;2263426;0;2263426
Сбербанк;1481;1;2016-01-01;Прочие долговые обязательства;11505;24518204;0;24518204
Сбербанк;1481;1;2016-01-01;Иностранных государств;11506;0;23641;23641
Сбербанк;1481;1;2016-01-01;Банков-нерезидентов;11507;713966;512375;1226341
Сбербанк;1481;1;2016-01-01;Прочие долговые обязательства нерезидентов;11508;4575515;18433862;23009377
Сбербанк;1481;1;2016-01-01;Органов федеральной власти;11601;0;0;0
Сбербанк;1481;1;2016-01-01;Органов власти субъектов Российской Федерации и органов местного самоуправления;11602;0;0;0
Сбербанк;1481;1;2016-01-01;Кредитных организаций;11603;0;0;0
Сбербанк;1481;1;2016-01-01;Векселям прочих резидентов;11604;0;0;0
Сбербанк;1481;1;2016-01-01;Органов государственной власти иностранных государств;11605;0;0;0
Сбербанк;1481;1;2016-01-01;Органов местной власти иностранных государств;11606;0;0;0
Сбербанк;1481;1;2016-01-01;Банков-нерезидентов;11607;0;0;0
Сбербанк;1481;1;2016-01-01;Векселям прочих нерезидентов;11608;0;0;0
Сбербанк;1481;1;2016-01-01;Вознаграждение за открытие и ведение банковских счетов;12101;27724625;115715;27840340
Сбербанк;1481;1;2016-01-01;Вознаграждение за расчетное и кассовое обслуживание;12102;214511635;8665872;223177507
Сбербанк;1481;1;2016-01-01;Доходы от купли-продажи иностранной валюты в наличной и безналичной формах;12201;370547275;;370547275
Сбербанк;1481;1;2016-01-01;Доходы от выдачи банковских гарантий и поручительств;12301;13410709;1785484;15196193
Сбербанк;1481;1;2016-01-01;От погашения и реализации приобретенных прав требования;12401;519285;;519285
Сбербанк;1481;1;2016-01-01;От операций по доверительному управлению имуществом;12402;0;0;0
Сбербанк;1481;1;2016-01-01;От операций с драгоценными металлами и драгоценными камнями;12403;9565506;;9565506
Сбербанк;1481;1;2016-01-01;От предоставления в аренду специальных помещений и сейфов для хранения документов и ценностей;12404;1349908;0;1349908
Сбербанк;1481;1;2016-01-01;От операций финансовой аренды (лизинга);12405;0;0;0
Сбербанк;1481;1;2016-01-01;От оказания консультационных и информационных услуг;12406;17000349;1222391;18222740
Сбербанк;1481;1;2016-01-01;от реализации (уступки) прав требования по заключенным кредитной организацией договорам на предоставление (размещение) денежных средств;12407;229257;0;229257
Сбербанк;1481;1;2016-01-01;Российской Федерации;13101;2465635;;2465635
Сбербанк;1481;1;2016-01-01;Субъектов Российской Федерации и органов местного самоуправления;13102;20933;;20933
Сбербанк;1481;1;2016-01-01;Банка России;13103;0;;0
Сбербанк;1481;1;2016-01-01;Кредитных организаций;13104;110067;;110067
Сбербанк;1481;1;2016-01-01;Прочих ценных бумаг;13105;1213437;;1213437
Сбербанк;1481;1;2016-01-01;Иностранных государств;13106;31;;31
Сбербанк;1481;1;2016-01-01;Банков-нерезидентов;13107;219133;;219133
Сбербанк;1481;1;2016-01-01;Прочих ценных бумаг нерезидентов;13108;1848028;;1848028
Сбербанк;1481;1;2016-01-01;Доходы от операций с выпущенными ценными  бумагами;13201;56897;15;56912
Сбербанк;1481;1;2016-01-01;Кредитных организаций;14101;291;0;291
Сбербанк;1481;1;2016-01-01;Других организаций;14102;893480;0;893480
Сбербанк;1481;1;2016-01-01;Банков-нерезидентов;14103;0;0;0
Сбербанк;1481;1;2016-01-01;Других организаций-нерезидентов;14104;0;468505;468505
Сбербанк;1481;1;2016-01-01;Кредитных организаций;14201;0;0;0
Сбербанк;1481;1;2016-01-01;Других организаций;14202;589030;0;589030
Сбербанк;1481;1;2016-01-01;Банков-нерезидентов;14203;0;1370;1370
Сбербанк;1481;1;2016-01-01;Других организаций-нерезидентов;14204;0;0;0
Сбербанк;1481;1;2016-01-01;Кредитных организациях;14301;0;0;0
Сбербанк;1481;1;2016-01-01;Банках-нерезидентах;14302;0;0;0
Сбербанк;1481;1;2016-01-01;Других организациях;14303;0;0;0
Сбербанк;1481;1;2016-01-01;Других организациях-нерезидентах;14304;0;0;0
