Банк;Номер лицензии банка;Место в рейтинге;Дата отчёта;Наименование статей;Символы;Суммы в рублях от операций в рублях;Суммы в рублях от операций в ин. валюте и драг. металлах;Всего
Совкомбанк;963;9;2016-01-01;Минфину  России;11101;0;0;0
Совкомбанк;963;9;2016-01-01;Финансовым органам субъектов Российской Федерации и органов местного самоуправления;11102;2419398;0;2419398
Совкомбанк;963;9;2016-01-01;Государственным внебюджетным фондам Российской Федерации;11103;0;0;0
Совкомбанк;963;9;2016-01-01;Внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления;11104;0;0;0
Совкомбанк;963;9;2016-01-01;Финансовым организациям, находящимся в федеральной собственности;11105;56670;0;56670
Совкомбанк;963;9;2016-01-01;Коммерческим организациям, находящимся в федеральной собственности;11106;0;0;0
Совкомбанк;963;9;2016-01-01;Некоммерческим организациям, находящимся в федеральной собственности;11107;0;0;0
Совкомбанк;963;9;2016-01-01;Финансовым организациям, находящимся в государственной (кроме федеральной) собственности;11108;0;0;0
Совкомбанк;963;9;2016-01-01;Коммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11109;0;0;0
Совкомбанк;963;9;2016-01-01;Некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11110;0;0;0
Совкомбанк;963;9;2016-01-01;Негосударственным финансовым организациям;11111;93300;0;93300
Совкомбанк;963;9;2016-01-01;Негосударственным коммерческим организациям;11112;1212980;335826;1548806
Совкомбанк;963;9;2016-01-01;Негосударственным некоммерческим организациям;11113;10101;0;10101
Совкомбанк;963;9;2016-01-01;Индивидуальным предпринимателям;11114;22399;19928;42327
Совкомбанк;963;9;2016-01-01;Гражданам (физическим лицам);11115;16559636;63039;16622675
Совкомбанк;963;9;2016-01-01;Юридическим лицам-нерезидентам;11116;0;4029;4029
Совкомбанк;963;9;2016-01-01;Физическим лицам-нерезидентам;11117;1487;83;1570
Совкомбанк;963;9;2016-01-01;Кредитным организациям;11118;183301;11963;195264
Совкомбанк;963;9;2016-01-01;Банкам-нерезидентам;11119;0;0;0
Совкомбанк;963;9;2016-01-01;Минфине России;11201;0;0;0
Совкомбанк;963;9;2016-01-01;Финансовых органах субъектов Российской Федерации и органов местного самоуправления;11202;0;0;0
Совкомбанк;963;9;2016-01-01;Государственных внебюджетных фондах Российской Федерации;11203;0;0;0
Совкомбанк;963;9;2016-01-01;Внебюджетных фондах субъектов Российской Федерации и органов местного самоуправления;11204;0;0;0
Совкомбанк;963;9;2016-01-01;Финансовых организациях, находящихся в федеральной собственности;11205;0;0;0
Совкомбанк;963;9;2016-01-01;Коммерческих организациях, находящихся в федеральной собственности;11206;0;0;0
Совкомбанк;963;9;2016-01-01;Некоммерческих организациях, находящихся в федеральной собственности;11207;0;0;0
Совкомбанк;963;9;2016-01-01;Финансовых организациях, находящихся в государственной (кроме федеральной) собственности;11208;0;0;0
Совкомбанк;963;9;2016-01-01;Коммерческих организациях, находящихся в государственной (кроме федеральной) собственности;11209;0;0;0
Совкомбанк;963;9;2016-01-01;Некоммерческими организациях, находящихся в государственной (кроме федеральной) собственности;11210;0;0;0
Совкомбанк;963;9;2016-01-01;Негосударственных финансовых организациях;11211;22566;128345;150911
Совкомбанк;963;9;2016-01-01;Негосударственных коммерческих организациях;11212;22150;33932;56082
Совкомбанк;963;9;2016-01-01;Негосударственных некоммерческих организациях;11213;0;0;0
Совкомбанк;963;9;2016-01-01;Юридических лицах-нерезидентах;11214;5342;16404;21746
Совкомбанк;963;9;2016-01-01;Кредитных организациях;11215;93063;93891;186954
Совкомбанк;963;9;2016-01-01;Банках-нерезидентах;11216;0;0;0
Совкомбанк;963;9;2016-01-01;В Банке России;11217;0;0;0
Совкомбанк;963;9;2016-01-01;В Банке России;11301;0;0;0
Совкомбанк;963;9;2016-01-01;В кредитных организациях;11302;31;0;31
Совкомбанк;963;9;2016-01-01;В банках-нерезидентах;11303;0;0;0
Совкомбанк;963;9;2016-01-01;В Банке России;11401;4734;0;4734
Совкомбанк;963;9;2016-01-01;В кредитных организациях;11402;0;0;0
Совкомбанк;963;9;2016-01-01;В банках-нерезидентах;11403;0;0;0
Совкомбанк;963;9;2016-01-01;Российской Федерации;11501;1215806;139546;1355352
Совкомбанк;963;9;2016-01-01;Субъектов Российской Федерации и органов местного самоуправления;11502;3026531;0;3026531
